iter	Passed	Remaining
786	13963	21521
787	13980	21503
788	13999	21487
789	14016	21468
790	14034	21451
791	14051	21432
792	14068	21413
793	14086	21395
794	14103	21377
795	14118	21355
796	14135	21335
797	14153	21319
798	14169	21298
799	14187	21280
800	14203	21260
801	14218	21239
802	14236	21221
803	14253	21202
804	14269	21182
805	14285	21162
806	14300	21141
807	14317	21122
808	14333	21102
809	14352	21085
810	14373	21072
811	14391	21055
812	14409	21038
813	14430	21024
814	14447	21006
815	14463	20986
816	14482	20969
817	14501	20954
818	14519	20936
819	14537	20919
820	14554	20901
821	14574	20886
822	14594	20871
823	14613	20855
824	14634	20843
825	14652	20825
826	14672	20811
827	14689	20793
828	14708	20776
829	14728	20761
830	14749	20748
831	14770	20736
832	14788	20717
833	14806	20700
834	14824	20683
835	14844	20668
836	14862	20650
837	14880	20633
838	14896	20613
839	14914	20596
840	14933	20579
841	14952	20563
842	14969	20544
843	14987	20528
844	15004	20508
845	15025	20496
846	15045	20481
847	15061	20460
848	15079	20443
849	15097	20425
850	15118	20412
851	15136	20395
852	15154	20377
853	15170	20358
854	15188	20339
855	15204	20319
856	15221	20301
857	15242	20288
858	15259	20269
859	15282	20257
860	15303	20245
861	15324	20230
862	15346	20218
863	15366	20204
864	15385	20188
865	15403	20170
866	15420	20151
867	15440	20136
868	15456	20115
869	15472	20096
870	15491	20080
871	15511	20065
872	15529	20047
873	15546	20028
874	15567	20015
875	15587	20000
876	15604	19982
877	15624	19966
878	15647	19954
879	15666	19938
880	15686	19924
881	15708	19911
882	15725	19892
883	15742	19874
884	15759	19854
885	15780	19841
886	15801	19827
887	15819	19810
888	15838	19793
889	15857	19776
890	15876	19760
891	15893	19742
892	15915	19729
893	15935	19713
894	15954	19697
895	15972	19680
896	15988	19660
897	16005	19641
898	16022	19622
899	16040	19604
900	16061	19590
901	16084	19579
902	16098	19557
903	16116	19539
904	16134	19522
905	16152	19503
906	16166	19482
907	16184	19464
908	16201	19445
909	16218	19426
910	16237	19410
911	16255	19392
912	16272	19373
913	16292	19358
914	16308	19338
915	16331	19326
916	16348	19308
917	16370	19295
918	16389	19278
919	16407	19261
920	16428	19246
921	16445	19228
922	16462	19209
923	16481	19193
924	16501	19177
925	16516	19156
926	16533	19137
927	16548	19116
928	16567	19100
929	16585	19081
930	16603	19064
931	16621	19046
932	16636	19026
933	16652	19006
934	16669	18987
935	16688	18970
936	16708	18955
937	16729	18941
